ID_HEXAGONO;MODO;HORA;OPERACIONES
13717317;BUS;5;1
13717317;BUS;6;5
13717317;BUS;7;11
13717317;BUS;9;7
13717317;BUS;13;3
13717317;BUS;14;7
13717317;BUS;15;4
13717317;BUS;17;5
13717317;BUS;18;3
13717317;BUS;20;1
13717318;BUS;6;5
13717318;BUS;7;13
13717318;BUS;13;4
13717318;BUS;15;13
13717318;BUS;17;4
13717319;BUS;7;3
13717319;BUS;8;1
13717319;BUS;10;3
13717319;BUS;11;1
13717319;BUS;13;1
13717319;BUS;14;2
13717319;BUS;18;3
13723413;BUS;7;2
13723413;BUS;16;9
13723413;BUS;19;1
13723451;BUS;17;1
13723452;BUS;8;1
13723452;BUS;14;2
13723452;BUS;15;1
13723481;BUS;5;1
13723481;BUS;6;4
13723481;BUS;7;13
13723481;BUS;8;12
13723481;BUS;9;10
13723481;BUS;10;8
13723481;BUS;11;8
13723481;BUS;12;8
13723481;BUS;13;4
13723481;BUS;14;2
13723481;BUS;15;7
13723481;BUS;16;1
13723481;BUS;17;28
13723481;BUS;18;6
13723481;BUS;20;2
13723481;BUS;21;2
13723482;BUS;5;1
13723482;BUS;7;9
13723482;BUS;8;4
13723482;BUS;10;8
13723482;BUS;11;1
13723482;BUS;12;7
13723482;BUS;13;3
13723482;BUS;14;5
13723482;BUS;17;3
13723482;BUS;18;3
13723482;BUS;20;2
13723483;BUS;4;1
13723483;BUS;5;1
13723483;BUS;6;8
13723483;BUS;7;12
13723483;BUS;8;3
13723483;BUS;9;2
13723483;BUS;10;8
13723483;BUS;11;4
13723483;BUS;12;8
13723483;BUS;13;2
13723483;BUS;14;2
13723483;BUS;15;2
13723483;BUS;16;3
13723483;BUS;17;3
13723483;BUS;18;3
13723483;BUS;19;3
13723483;BUS;20;2
13723483;BUS;21;1
13723483;BUS;22;1
13729576;BUS;10;1
13729576;BUS;11;1
13729577;BUS;16;10
13729577;BUS;17;3
13729615;BUS;8;2
13729615;BUS;17;2
13729616;BUS;6;1
13729616;BUS;7;1
13729616;BUS;12;1
13729616;BUS;13;1
13729616;BUS;17;1
13729645;BUS;5;1
13729645;BUS;6;5
13729645;BUS;7;26
13729645;BUS;8;9
13729645;BUS;10;10
13729645;BUS;11;4
13729645;BUS;12;13
13729645;BUS;13;5
13729645;BUS;14;3
13729645;BUS;15;12
13729645;BUS;16;1
13729645;BUS;17;14
13729645;BUS;18;6
13729645;BUS;19;1
13729645;BUS;20;3
13729645;BUS;21;2
13729646;BUS;0;4
13729646;BUS;1;2
13729646;BUS;2;1
13729646;BUS;3;2
13729646;BUS;4;1
13729646;BUS;5;2
13729646;BUS;6;8
13729646;BUS;7;11
13729646;BUS;8;8
13729646;BUS;9;4
13729646;BUS;10;4
13729646;BUS;11;6
13729646;BUS;12;5
13729646;BUS;13;6
13729646;BUS;14;6
13729646;BUS;15;13
13729646;BUS;16;1
13729646;BUS;17;11
13729646;BUS;18;7
13729646;BUS;19;5
13729646;BUS;20;1
13729646;BUS;21;1
13729646;BUS;22;1
13729646;BUS;23;2
13735741;BUS;6;1
13735741;BUS;7;2
13735741;BUS;8;2
13735741;BUS;9;1
13735741;BUS;16;8
13735780;BUS;8;1
13735780;BUS;10;1
13735780;BUS;12;1
13735780;BUS;15;1
13735780;BUS;16;1
13735780;BUS;17;3
13735781;BUS;6;1
13735811;BUS;4;1
13735811;BUS;5;1
13735811;BUS;6;5
13735811;BUS;7;4
13735811;BUS;8;2
13735811;BUS;9;1
